1,tarjima_uz,tarjima_ru,tarjima_ar
Average annual temperature,Yillik o'rtacha harorat,Среднегодовая температура,متوسط درجة الحرارة السنوية
Annual average maximum temperature,Yillik o'rtacha maksimal harorat,Среднегодовая максимальная температура,متوسط درجة الحرارة القصوى السنوية
Average annual minimum temperature,O'rtacha yillik minimal harorat,Среднегодовая минимальная температура,متوسط درجة الحرارة الدنيا السنوية
Rain or snow precipitation total annual,Yomg'ir yoki qor yog'ishi umumiy yillik,Дождь или снег осадки общее годовое,هطول الأمطار أو الثلوج إجمالي هطول الأمطار السنوي
Annual average wind speed,Yillik o'rtacha shamol tezligi,Среднегодовая скорость ветра,متوسط سرعة الرياح السنوية
Number of days with rain,Yomg'ir bilan kun sayin,Количество дней с дождем,عدد الأيام مع المطر
Number of days with snow,Qor bilan kunlar soni,Количество дней со снегом,عدد أيام تساقط الثلوج
Number of days with storm,Bo'ron bilan kunlar soni,Количество дней со штормом,عدد الأيام مع العاصفة
Number of foggy days,Tutunli kunlar soni,Количество туманных дней,عدد أيام الضباب
Number of days with tornado,Tornado bilan kunlar soni,Количество дней с торнадо,عدد أيام الإعصار
Number of days with hail,Do'l bilan kunlar soni,Количество дней с градом,عدد الأيام مع البرد
